ProteinID(Uniprot) DiseaseID(Uniprot) DiseaseID(OMIM) DiseaseID(MeSH) 
ACON_HUMAN DI-03409 OMIM:614559 MeSH:D012162 
ACON_HUMAN DI-04381 OMIM:616289 MeSH:D015418 
ACON_HUMAN DI-03409 OMIM:614559 MeSH:D019636 
ACOX1_HUMAN DI-00049 OMIM:264470 MeSH:D000326 
ACOX1_HUMAN DI-05884 OMIM:618960 MeSH:D002607 
ACOX1_HUMAN DI-05884 OMIM:618960 MeSH:D015418 
ACOX2_HUMAN DI-04924 OMIM:617308 MeSH:D002780 
ACSF3_HUMAN DI-03246 OMIM:614265 MeSH:D008052 
ACSL4_HUMAN DI-01183 OMIM:300194 MeSH:D009394 
ACSL4_HUMAN DI-00734 OMIM:300387 MeSH:D038901 
ACTA_HUMAN DI-03141 OMIM:614042 MeSH:D009072 
ACTA_HUMAN DI-03109 OMIM:613834 MeSH:D014652 
ACTA_HUMAN DI-03109 OMIM:613834 MeSH:D015878 
ACTA_HUMAN DI-00130 OMIM:611788 MeSH:D017545 
ACTB_HUMAN DI-03416 OMIM:243310 MeSH:D001763 
ACTB_HUMAN DI-03416 OMIM:243310 MeSH:D003103 
ACTB_HUMAN DI-00412 OMIM:607371 MeSH:D004421 
ACTB_HUMAN DI-03416 OMIM:243310 MeSH:D006972 
ACTB_HUMAN DI-03416 OMIM:243310 MeSH:D008607 
ACTC_HUMAN DI-00223 OMIM:613424 MeSH:D002311 
ACTC_HUMAN DI-02497 OMIM:612794 MeSH:D006344 
ACTC_HUMAN DI-00241 OMIM:612098 MeSH:D024741 
ACTG_HUMAN DI-03417 OMIM:614583 MeSH:D001763 
ACTG_HUMAN DI-03417 OMIM:614583 MeSH:D003103 
ACTG_HUMAN DI-00846 OMIM:604717 MeSH:D006319 
ACTG_HUMAN DI-03417 OMIM:614583 MeSH:D006972 
ACTG_HUMAN DI-03417 OMIM:614583 MeSH:D008607 
ACTHR_HUMAN DI-01669 OMIM:202200 MeSH:D000309 
ACTH_HUMAN DI-04078 OMIM:155310 MeSH:D007418 
ACTL9_HUMAN DI-06072 OMIM:619258 MeSH:D007248 
ACTN1_HUMAN DI-03753 OMIM:615193 MeSH:D001791 
ACTN1_HUMAN DI-03753 OMIM:615193 MeSH:D006470 
ACTN2_HUMAN DI-00211 OMIM:612158 MeSH:D002311 
ACTN2_HUMAN DI-05700 OMIM:618654 MeSH:D009135 
ACTN2_HUMAN DI-04440 OMIM:612158 MeSH:D024741 
ACTN4_HUMAN DI-01620 OMIM:603278 MeSH:D005923 
ACTS_HUMAN DI-04672 OMIM:616852 MeSH:D009135 
ACTS_HUMAN DI-02034 OMIM:161800 MeSH:D017696 
ACTS_HUMAN DI-01412 OMIM:161800 MeSH:D020914 
ACVL1_HUMAN DI-01717 OMIM:600376 MeSH:D013683 
ACVR1_HUMAN DI-00499 OMIM:135100 MeSH:D009221 
ACY1_HUMAN DI-00095 OMIM:609924 MeSH:D000592 
ACY2_HUMAN DI-00208 OMIM:271900 MeSH:D017825 
ADA10_HUMAN DI-04003 OMIM:615590 MeSH:D000544 
ADA10_HUMAN DI-03962 OMIM:615537 MeSH:D010859 
ADA17_HUMAN DI-03306 OMIM:614328 MeSH:D012873 
ADA17_HUMAN DI-03306 OMIM:614328 MeSH:D015212 
ADA22_HUMAN DI-05227 OMIM:617933 MeSH:D013036 
ADA2B_HUMAN DI-04469 OMIM:607876 MeSH:D004831 
ADA33_HUMAN DI-02482 OMIM:600807 MeSH:D001249 
ADAM9_HUMAN DI-02490 OMIM:612775 MeSH:D058499 
ADAS_HUMAN DI-01003 OMIM:600121 MeSH:D018902 
ADAT3_HUMAN DI-03799 OMIM:615286 MeSH:D008607 
ADA_HUMAN DI-01016 OMIM:102700 MeSH:D016511 
ADCY1_HUMAN DI-04170 OMIM:610154 MeSH:D006319 
ADCY3_HUMAN DI-01221 OMIM:601665 MeSH:D009765 
ADCY5_HUMAN DI-03514 OMIM:606703 MeSH:D020385 
ADCY5_HUMAN DI-03514 OMIM:606703 MeSH:D020820 
ADCY6_HUMAN DI-04380 OMIM:616287 MeSH:D001176 
ADCYA_HUMAN DI-02646 OMIM:143870 MeSH:D053565 
ADDG_HUMAN DI-04750 OMIM:617008 MeSH:D002547 
ADIPO_HUMAN DI-02060 OMIM:125853 MeSH:D003924 
ADIPO_HUMAN DI-00041 OMIM:612556 MeSH:D009765 
ADK_HUMAN DI-03295 OMIM:614300 MeSH:D000592 
ADNP_HUMAN DI-04149 OMIM:615873 MeSH:D008607 
ADRO_HUMAN DI-05116 OMIM:617717 MeSH:D015418 
ADRO_HUMAN DI-05116 OMIM:617717 MeSH:D034381 
ADT1_HUMAN DI-03934 OMIM:615418 MeSH:D017240 
ADT1_HUMAN DI-00944 OMIM:609283 MeSH:D017246 
AEBP1_HUMAN DI-05255 OMIM:618000 MeSH:D004535 
AFF2_HUMAN DI-01629 OMIM:309548 MeSH:D038901 
AFF3_HUMAN DI-06095 OMIM:619297 MeSH:D004392 
AFF3_HUMAN DI-06095 OMIM:619297 MeSH:D008607 
AFF3_HUMAN DI-06095 OMIM:619297 MeSH:D014564 
AFF4_HUMAN DI-04427 OMIM:616368 MeSH:D000015 
AFG32_HUMAN DI-03374 OMIM:614487 MeSH:D002524 
AFG32_HUMAN DI-05893 OMIM:618977 MeSH:D015418 
AFG32_HUMAN DI-02675 OMIM:610246 MeSH:D020754 
AGK_HUMAN DI-03390 OMIM:212350 MeSH:D002386 
AGK_HUMAN DI-03390 OMIM:212350 MeSH:D009202 
AGK_HUMAN DI-03390 OMIM:212350 MeSH:D028361 
AGM1_HUMAN DI-04117 OMIM:615816 MeSH:D007153 
AGO2_HUMAN DI-06006 OMIM:619149 MeSH:D065886 
AGRIN_HUMAN DI-04109 OMIM:615120 MeSH:D020294 
AGRP_HUMAN DI-01221 OMIM:601665 MeSH:D009765 
AHDC1_HUMAN DI-04125 OMIM:615829 MeSH:D008607 
AHI1_HUMAN DI-00606 OMIM:608629 MeSH:D002526 
AHI1_HUMAN DI-00606 OMIM:608629 MeSH:D005124 
AHI1_HUMAN DI-00606 OMIM:608629 MeSH:D052177 
AHR_HUMAN DI-05496 OMIM:618345 MeSH:D012174 
AICDA_HUMAN DI-01241 OMIM:605258 MeSH:D053306 
AIFM1_HUMAN DI-03693 OMIM:310490 MeSH:D002607 
AIFM1_HUMAN DI-04610 OMIM:300614 MeSH:D006319 
AIFM1_HUMAN DI-03693 OMIM:310490 MeSH:D008607 
AIFM1_HUMAN DI-05710 OMIM:300232 MeSH:D010009 
AIFM1_HUMAN DI-02854 OMIM:300816 MeSH:D017237 
AIMP1_HUMAN DI-03001 OMIM:260600 MeSH:D020279 
AIMP2_HUMAN DI-05268 OMIM:618006 MeSH:D020279 
AIPL1_HUMAN DI-00632 OMIM:604393 MeSH:D057130 
AIP_HUMAN DI-01689 OMIM:102200 MeSH:D000172 
AIP_HUMAN DI-01689 OMIM:102200 MeSH:D049912 
AIRE_HUMAN DI-01198 OMIM:240300 MeSH:D016884 
AK1C2_HUMAN DI-03279 OMIM:614279 MeSH:D006061 
AK1C4_HUMAN DI-03279 OMIM:614279 MeSH:D006061 
AK1D1_HUMAN DI-00330 OMIM:235555 MeSH:D002780 
AKA10_HUMAN DI-03218 OMIM:115080 MeSH:D016757 
AKAP9_HUMAN DI-00688 OMIM:611820 MeSH:D008133 
AKT1_HUMAN DI-02602 OMIM:114480 MeSH:D001943 
AKT1_HUMAN DI-03697 OMIM:615109 MeSH:D006223 
AKT1_HUMAN DI-01359 OMIM:114500 MeSH:D015179 
AKT1_HUMAN DI-03216 OMIM:176920 MeSH:D016715 
AKT2_HUMAN DI-02060 OMIM:125853 MeSH:D003924 
AKT2_HUMAN DI-03305 OMIM:240900 MeSH:D007003 
AKT3_HUMAN DI-04183 OMIM:615937 MeSH:D006849 
AKT3_HUMAN DI-04183 OMIM:615937 MeSH:D017689 
AKT3_HUMAN DI-04183 OMIM:615937 MeSH:D054220 
AKT3_HUMAN DI-04183 OMIM:615937 MeSH:D058627 
AL1A3_HUMAN DI-03703 OMIM:615113 MeSH:D008850 
AL3A2_HUMAN DI-01031 OMIM:270200 MeSH:D016111 
AL4A1_HUMAN DI-01783 OMIM:239510 MeSH:D000592 
ALAT2_HUMAN DI-04363 OMIM:616281 MeSH:D008607 
ALBU_HUMAN DI-04235 OMIM:616000 MeSH:D034141 
ALBU_HUMAN DI-01565 OMIM:615999 MeSH:D050010 
ALDOA_HUMAN DI-01176 OMIM:611881 MeSH:D006008 
ALEX_HUMAN DI-01167 OMIM:219080 MeSH:D003480 
ALEX_HUMAN DI-02817 OMIM:603233 MeSH:D011547 
ALEX_HUMAN DI-01359 OMIM:114500 MeSH:D015179 
ALG11_HUMAN DI-02950 OMIM:613661 MeSH:D018981 
ALG12_HUMAN DI-00339 OMIM:607143 MeSH:D018981 
ALG13_HUMAN DI-03606 OMIM:300884 MeSH:D013036 
ALG13_HUMAN DI-03606 OMIM:300884 MeSH:D018981 
ALG14_HUMAN DI-04339 OMIM:616227 MeSH:D020294 
ALG14_HUMAN DI-05919 OMIM:619031 MeSH:D065886 
ALG1_HUMAN DI-00343 OMIM:608540 MeSH:D018981 
ALG2_HUMAN DI-00341 OMIM:607906 MeSH:D018981 
ALG2_HUMAN DI-04340 OMIM:616228 MeSH:D020294 
ALG3_HUMAN DI-00336 OMIM:601110 MeSH:D018981 
ALG6_HUMAN DI-00335 OMIM:603147 MeSH:D018981 
ALG8_HUMAN DI-05194 OMIM:617874 MeSH:D003560 
ALG8_HUMAN DI-05194 OMIM:617874 MeSH:D008107 
ALG8_HUMAN DI-00340 OMIM:608104 MeSH:D018981 
ALG9_HUMAN DI-04737 OMIM:263210 MeSH:D004480 
ALG9_HUMAN DI-04737 OMIM:263210 MeSH:D006972 
ALG9_HUMAN DI-04737 OMIM:263210 MeSH:D017044 
ALG9_HUMAN DI-00344 OMIM:608776 MeSH:D018981 
ALKB8_HUMAN DI-05617 OMIM:618504 MeSH:D038901 
ALK_HUMAN DI-02632 OMIM:613014 MeSH:D009447 
ALMS1_HUMAN DI-00083 OMIM:203800 MeSH:D056769 
ALPK1_HUMAN DI-05949 OMIM:614979 MeSH:D007007 
ALPK1_HUMAN DI-05949 OMIM:614979 MeSH:D013163 
ALPK1_HUMAN DI-05949 OMIM:614979 MeSH:D058499 
ALPK3_HUMAN DI-05290 OMIM:618052 MeSH:D024741 
ALR_HUMAN DI-02638 OMIM:613076 MeSH:D017240 
ALS2_HUMAN DI-00109 OMIM:205100 MeSH:D000690 
ALS2_HUMAN DI-00616 OMIM:606353 MeSH:D016472 
ALS_HUMAN DI-04198 OMIM:615961 MeSH:D006130 
ALX1_HUMAN DI-02710 OMIM:613456 MeSH:D000013 
ALX3_HUMAN DI-02575 OMIM:136760 MeSH:D000013 
ALX4_HUMAN DI-02709 OMIM:613451 MeSH:D000013 
ALX4_HUMAN DI-02006 OMIM:601224 MeSH:D002872 
ALX4_HUMAN DI-03953 OMIM:615529 MeSH:D003398 
AMACR_HUMAN DI-00332 OMIM:214950 MeSH:D002780 
AMACR_HUMAN DI-00076 OMIM:614307 MeSH:D018901 
