ProteinID(Uniprot) DiseaseID(Uniprot) DiseaseID(OMIM) DiseaseID(MeSH) 
CYTSA_HUMAN DI-04368 OMIM:145410 MeSH:D007021 
CYTSA_HUMAN DI-03222 OMIM:600251 MeSH:D019767 
D19L2_HUMAN DI-03123 OMIM:613958 MeSH:D007248 
D2HDH_HUMAN DI-00384 OMIM:600721 MeSH:D020739 
DAAF1_HUMAN DI-02569 OMIM:613193 MeSH:D007619 
DAAF3_HUMAN DI-03362 OMIM:606763 MeSH:D002925 
DAAF3_HUMAN DI-03362 OMIM:606763 MeSH:D007619 
DAAM2_HUMAN DI-06075 OMIM:619263 MeSH:D009404 
DAB1_HUMAN DI-05050 OMIM:615945 MeSH:D020754 
DACT1_HUMAN DI-04995 OMIM:617466 MeSH:D000015 
DACT1_HUMAN DI-02042 OMIM:182940 MeSH:D009436 
DAF_HUMAN DI-05079 OMIM:226300 MeSH:D011504 
DAF_HUMAN DI-05079 OMIM:226300 MeSH:D013927 
DAG1_HUMAN DI-03074 OMIM:613818 MeSH:D049288 
DAG1_HUMAN DI-04533 OMIM:616538 MeSH:D058494 
DALD3_HUMAN DI-05854 OMIM:618910 MeSH:D013036 
DAOA_HUMAN DI-03626 OMIM:181500 MeSH:D012559 
DAPLE_HUMAN DI-03639 OMIM:236600 MeSH:D006849 
DAPLE_HUMAN DI-04242 OMIM:616053 MeSH:D020754 
DAZ1_HUMAN DI-02062 OMIM:415000 MeSH:D009845 
DAZ1_HUMAN DI-02062 OMIM:415000 MeSH:D053713 
DAZ2_HUMAN DI-02062 OMIM:415000 MeSH:D009845 
DAZ2_HUMAN DI-02062 OMIM:415000 MeSH:D053713 
DAZ3_HUMAN DI-02062 OMIM:415000 MeSH:D009845 
DAZ3_HUMAN DI-02062 OMIM:415000 MeSH:D053713 
DAZ4_HUMAN DI-02062 OMIM:415000 MeSH:D009845 
DAZ4_HUMAN DI-02062 OMIM:415000 MeSH:D053713 
DBLOH_HUMAN DI-03231 OMIM:614152 MeSH:D006319 
DC1I2_HUMAN DI-05606 OMIM:618492 MeSH:D065886 
DC2L1_HUMAN DI-04792 OMIM:617088 MeSH:D012779 
DCAF8_HUMAN DI-04139 OMIM:610100 MeSH:D015417 
DCC_HUMAN DI-05031 OMIM:617542 MeSH:D012600 
DCC_HUMAN DI-05031 OMIM:617542 MeSH:D015835 
DCC_HUMAN DI-02833 OMIM:157600 MeSH:D020820 
DCDC2_HUMAN DI-04549 OMIM:610212 MeSH:D006319 
DCDC2_HUMAN DI-04970 OMIM:617394 MeSH:D015209 
DCDC2_HUMAN DI-04336 OMIM:616217 MeSH:D052177 
DCE1_HUMAN DI-05990 OMIM:619124 MeSH:D013036 
DCOR_HUMAN DI-05945 OMIM:619075 MeSH:D065886 
DCPS_HUMAN DI-04480 OMIM:616459 MeSH:D000015 
DCR1B_HUMAN DI-00572 OMIM:305000 MeSH:D005317 
DCR1B_HUMAN DI-00572 OMIM:305000 MeSH:D008607 
DCR1B_HUMAN DI-00572 OMIM:305000 MeSH:D008831 
DCR1B_HUMAN DI-00409 OMIM:305000 MeSH:D019871 
DCR1C_HUMAN DI-01015 OMIM:602450 MeSH:D016511 
DCTN1_HUMAN DI-00107 OMIM:105400 MeSH:D000690 
DCTN1_HUMAN DI-02797 OMIM:168605 MeSH:D003863 
DCTN1_HUMAN DI-02797 OMIM:168605 MeSH:D007040 
DCTN1_HUMAN DI-00404 OMIM:607641 MeSH:D009134 
DCTN1_HUMAN DI-02797 OMIM:168605 MeSH:D020734 
DCUP_HUMAN DI-00497 OMIM:176100 MeSH:D017119 
DCUP_HUMAN DI-00542 OMIM:176100 MeSH:D017121 
DCX_HUMAN DI-00673 OMIM:300067 MeSH:D054082 
DCX_HUMAN DI-01095 OMIM:300067 MeSH:D054221 
DDB2_HUMAN DI-01159 OMIM:278740 MeSH:D014983 
DDC_HUMAN DI-00135 OMIM:608643 MeSH:D000592 
DDHD1_HUMAN DI-03678 OMIM:609340 MeSH:D015419 
DDHD2_HUMAN DI-03677 OMIM:615033 MeSH:D015419 
DDIT3_HUMAN DI-03715 OMIM:613488 MeSH:D018208 
DDR2_HUMAN DI-05476 OMIM:618175 MeSH:D000015 
DDR2_HUMAN DI-02538 OMIM:271665 MeSH:D001848 
DDRGK_HUMAN DI-05181 OMIM:602557 MeSH:D010009 
DDX11_HUMAN DI-02764 OMIM:613398 MeSH:D000015 
DDX3X_HUMAN DI-04512 OMIM:300958 MeSH:D038901 
DDX41_HUMAN DI-04687 OMIM:616871 MeSH:D008223 
DDX41_HUMAN DI-04687 OMIM:616871 MeSH:D054437 
DDX58_HUMAN DI-04387 OMIM:616298 MeSH:D001018 
DDX58_HUMAN DI-04387 OMIM:616298 MeSH:D010024 
DDX58_HUMAN DI-04387 OMIM:616298 MeSH:D030981 
DDX59_HUMAN DI-03935 OMIM:174300 MeSH:D009958 
DDX6_HUMAN DI-05699 OMIM:618653 MeSH:D065886 
DEAF1_HUMAN DI-04122 OMIM:615828 MeSH:D008607 
DEAF1_HUMAN DI-04854 OMIM:617171 MeSH:D012640 
DEAF1_HUMAN DI-04854 OMIM:617171 MeSH:D020820 
DECR_HUMAN DI-04240 OMIM:616034 MeSH:D020167 
DECR_HUMAN DI-04240 OMIM:616034 MeSH:D028361 
DEGS1_HUMAN DI-05549 OMIM:618404 MeSH:D020279 
DEN1B_HUMAN DI-02482 OMIM:600807 MeSH:D001249 
DEN5A_HUMAN DI-04919 OMIM:617281 MeSH:D013036 
DEPD5_HUMAN DI-03794 OMIM:604364 MeSH:D004828 
DESM_HUMAN DI-00216 OMIM:604765 MeSH:D002311 
DESM_HUMAN DI-01481 OMIM:601419 MeSH:D020914 
DESP_HUMAN DI-04267 OMIM:615821 MeSH:D000848 
DESP_HUMAN DI-00230 OMIM:605676 MeSH:D002311 
DESP_HUMAN DI-01032 OMIM:607655 MeSH:D006201 
DESP_HUMAN DI-00896 OMIM:612908 MeSH:D007645 
DESP_HUMAN DI-01032 OMIM:607655 MeSH:D012873 
DESP_HUMAN DI-00459 OMIM:609638 MeSH:D016109 
DESP_HUMAN DI-01552 OMIM:607450 MeSH:D019571 
DGAT1_HUMAN DI-04130 OMIM:615863 MeSH:D003968 
DGKE_HUMAN DI-03798 OMIM:615008 MeSH:D006463 
DGKE_HUMAN DI-03666 OMIM:615008 MeSH:D009404 
DGLA_HUMAN DI-03078 OMIM:608687 MeSH:D020754 
DGUOK_HUMAN DI-04803 OMIM:617068 MeSH:D006975 
DGUOK_HUMAN DI-01709 OMIM:251880 MeSH:D017237 
DGUOK_HUMAN DI-04802 OMIM:617070 MeSH:D017246 
DHB3_HUMAN DI-01928 OMIM:264300 MeSH:D058490 
DHB4_HUMAN DI-03133 OMIM:233400 MeSH:D006319 
DHB4_HUMAN DI-03133 OMIM:233400 MeSH:D023961 
DHCR7_HUMAN DI-01033 OMIM:270400 MeSH:D019082 
DHDDS_HUMAN DI-03036 OMIM:613861 MeSH:D012174 
DHDDS_HUMAN DI-05282 OMIM:613861 MeSH:D018981 
DHDDS_HUMAN DI-05179 OMIM:617836 MeSH:D065886 
DHH_HUMAN DI-01379 OMIM:233420 MeSH:D006061 
DHI1_HUMAN DI-05184 OMIM:614662 MeSH:D008661 
DHI2_HUMAN DI-01187 OMIM:218030 MeSH:D043204 
DHPR_HUMAN DI-01278 OMIM:261630 MeSH:D010661 
DHSD_HUMAN DI-01733 OMIM:168000 MeSH:D010235 
DHSD_HUMAN DI-02160 OMIM:171300 MeSH:D010673 
DHSD_HUMAN DI-06015 OMIM:619167 MeSH:D028361 
DHSO_HUMAN DI-05855 OMIM:618912 MeSH:D002239 
DHSO_HUMAN DI-05855 OMIM:618912 MeSH:D009468 
DHTK1_HUMAN DI-03673 OMIM:204750 MeSH:D000592 
DHTK1_HUMAN DI-03672 OMIM:615025 MeSH:D002607 
DHX16_HUMAN DI-05734 OMIM:618733 MeSH:D009468 
DHX30_HUMAN DI-05162 OMIM:617804 MeSH:D065886 
DHX37_HUMAN DI-05803 OMIM:273250 MeSH:D006061 
DHX37_HUMAN DI-05732 OMIM:618731 MeSH:D065886 
DHYS_HUMAN DI-05598 OMIM:618480 MeSH:D065886 
DI3L2_HUMAN DI-03413 OMIM:267000 MeSH:D005320 
DI3L2_HUMAN DI-03413 OMIM:267000 MeSH:D007680 
DIAP1_HUMAN DI-00831 OMIM:124900 MeSH:D006319 
DIAP1_HUMAN DI-04572 OMIM:616632 MeSH:D008831 
DIAP1_HUMAN DI-04572 OMIM:616632 MeSH:D012640 
DIAP1_HUMAN DI-04572 OMIM:616632 MeSH:D019575 
DIAP2_HUMAN DI-02191 OMIM:300511 MeSH:D016649 
DIAP3_HUMAN DI-03423 OMIM:609129 MeSH:D006319 
DICER_HUMAN DI-05455 OMIM:618272 MeSH:D002658 
DICER_HUMAN DI-03075 OMIM:138800 MeSH:D006044 
DICER_HUMAN DI-05455 OMIM:618272 MeSH:D008171 
DICER_HUMAN DI-05455 OMIM:618272 MeSH:D009396 
DICER_HUMAN DI-02550 OMIM:601200 MeSH:D012142 
DICER_HUMAN DI-03929 OMIM:180295 MeSH:D018233 
DIC_HUMAN DI-05891 OMIM:618972 MeSH:D028361 
DISC1_HUMAN DI-02510 OMIM:604906 MeSH:D012559 
DJB11_HUMAN DI-05292 OMIM:618061 MeSH:D007690 
DJB13_HUMAN DI-04822 OMIM:617091 MeSH:D007619 
DJC12_HUMAN DI-04966 OMIM:617384 MeSH:D000592 
DJC13_HUMAN DI-02134 OMIM:168600 MeSH:D010300 
DJC21_HUMAN DI-04752 OMIM:617052 MeSH:D000080 
DKC1_HUMAN DI-00572 OMIM:305000 MeSH:D005317 
DKC1_HUMAN DI-00572 OMIM:305000 MeSH:D008607 
DKC1_HUMAN DI-00572 OMIM:305000 MeSH:D008831 
DKC1_HUMAN DI-00409 OMIM:305000 MeSH:D019871 
DLDH_HUMAN DI-03698 OMIM:246900 MeSH:D000140 
DLDH_HUMAN DI-03698 OMIM:246900 MeSH:D008375 
DLEC1_HUMAN DI-01537 OMIM:133239 MeSH:D004938 
DLEC1_HUMAN DI-02205 OMIM:211980 MeSH:D008175 
DLG3_HUMAN DI-00736 OMIM:300850 MeSH:D038901 
DLG4_HUMAN DI-05770 OMIM:618793 MeSH:D008607 
DLL1_HUMAN DI-05719 OMIM:618709 MeSH:D065886 
DLL3_HUMAN DI-01081 OMIM:277300 MeSH:D004413 
DLL4_HUMAN DI-04559 OMIM:616589 MeSH:D004476 
DLL4_HUMAN DI-04559 OMIM:616589 MeSH:D017880 
DLP1_HUMAN DI-03447 OMIM:614652 MeSH:D028361 
DLX3_HUMAN DI-00094 OMIM:104510 MeSH:D000567 
DLX3_HUMAN DI-02387 OMIM:190320 MeSH:D006201 
DLX3_HUMAN DI-02387 OMIM:190320 MeSH:D014071 
DLX3_HUMAN DI-02387 OMIM:190320 MeSH:D019465 
DLX4_HUMAN DI-04616 OMIM:616788 MeSH:D002971 
DLX5_HUMAN DI-03391 OMIM:220600 MeSH:D003638 
DLX5_HUMAN DI-03391 OMIM:220600 MeSH:D017880 
DMBT1_HUMAN DI-02566 OMIM:137800 MeSH:D005910 
DMD_HUMAN DI-00231 OMIM:302045 MeSH:D002311 
DMD_HUMAN DI-00178 OMIM:300376 MeSH:D020388 
DMP1_HUMAN DI-01243 OMIM:241520 MeSH:D012279 
DMPK_HUMAN DI-02023 OMIM:160900 MeSH:D009223 
DMRT1_HUMAN DI-03328 OMIM:154230 MeSH:D006061 
DMRT1_HUMAN DI-02749 OMIM:273300 MeSH:D013736 
DMRT1_HUMAN DI-02749 OMIM:273300 MeSH:D018239 
DMXL2_HUMAN DI-04291 OMIM:616113 MeSH:D003920 
DMXL2_HUMAN DI-05058 OMIM:617605 MeSH:D006319 
DMXL2_HUMAN DI-04291 OMIM:616113 MeSH:D007006 
DMXL2_HUMAN DI-04291 OMIM:616113 MeSH:D011115 
DMXL2_HUMAN DI-05696 OMIM:618663 MeSH:D013036 
DNAI1_HUMAN DI-00929 OMIM:244400 MeSH:D002925 
DNAI1_HUMAN DI-00929 OMIM:244400 MeSH:D007619 
DNAI2_HUMAN DI-00933 OMIM:612444 MeSH:D007619 
DNAL1_HUMAN DI-03134 OMIM:614017 MeSH:D007619 
DNAL4_HUMAN DI-04270 OMIM:616059 MeSH:D020820 
DNAS1_HUMAN DI-02648 OMIM:152700 MeSH:D008180 
DNJB2_HUMAN DI-03602 OMIM:614881 MeSH:D009134 
DNJB6_HUMAN DI-03434 OMIM:603511 MeSH:D049288 
DNJC3_HUMAN DI-04316 OMIM:616192 MeSH:D001259 
DNJC3_HUMAN DI-04316 OMIM:616192 MeSH:D003920 
DNJC3_HUMAN DI-04316 OMIM:616192 MeSH:D020271 
DNJC3_HUMAN DI-04316 OMIM:616192 MeSH:D034381 
DNJC5_HUMAN DI-03226 OMIM:162350 MeSH:D009472 
DNLI4_HUMAN DI-01015 OMIM:602450 MeSH:D016511 
DNM1L_HUMAN DI-03357 OMIM:614388 MeSH:D000015 
DNM1L_HUMAN DI-05126 OMIM:610708 MeSH:D015418 
DNM3A_HUMAN DI-05727 OMIM:618724 MeSH:D004392 
DNM3A_HUMAN DI-04151 OMIM:615879 MeSH:D006130 
DNM3A_HUMAN DI-04151 OMIM:615879 MeSH:D008607 
DNM3A_HUMAN DI-01171 OMIM:601626 MeSH:D015470 
DNM3B_HUMAN DI-01813 OMIM:242860 MeSH:D007153 
DNM3B_HUMAN DI-03604 OMIM:158901 MeSH:D020391 
DNM3B_HUMAN DI-01813 OMIM:242860 MeSH:D043171 
DNMBP_HUMAN DI-05553 OMIM:618415 MeSH:D002386 
DNMBP_HUMAN DI-05553 OMIM:618415 MeSH:D006030 
DNMT1_HUMAN DI-03793 OMIM:604121 MeSH:D002524 
DNMT1_HUMAN DI-03793 OMIM:604121 MeSH:D006319 
DNMT1_HUMAN DI-03793 OMIM:604121 MeSH:D009290 
DNMT1_HUMAN DI-03189 OMIM:614116 MeSH:D009477 
DNSL3_HUMAN DI-03334 OMIM:614420 MeSH:D008180 
DOCK2_HUMAN DI-04461 OMIM:616433 MeSH:D016511 
DOCK3_HUMAN DI-05468 OMIM:618292 MeSH:D065886 
DOCK6_HUMAN DI-03223 OMIM:614219 MeSH:D004476 
DOCK6_HUMAN DI-03223 OMIM:614219 MeSH:D017880 
DOCK7_HUMAN DI-04135 OMIM:615859 MeSH:D013036 
DOCK8_HUMAN DI-02809 OMIM:243700 MeSH:D007589 
DOCK8_HUMAN DI-03185 OMIM:614113 MeSH:D008607 
DOK7_HUMAN DI-05536 OMIM:618389 MeSH:D001176 
DOK7_HUMAN DI-05536 OMIM:618389 MeSH:D005317 
DOK7_HUMAN DI-00494 OMIM:254300 MeSH:D020294 
DOLK_HUMAN DI-00345 OMIM:610768 MeSH:D018981 
DONS_HUMAN DI-05065 OMIM:617604 MeSH:D004392 
DONS_HUMAN DI-05053 OMIM:251230 MeSH:D008831 
DONS_HUMAN DI-05053 OMIM:251230 MeSH:D017880 
DOPO_HUMAN DI-01502 OMIM:223360 MeSH:D007024 
DOXA2_HUMAN DI-02527 OMIM:274900 MeSH:D003409 
DP13A_HUMAN DI-04501 OMIM:616511 MeSH:D003924 
DPH1_HUMAN DI-04703 OMIM:616901 MeSH:D001848 
DPH1_HUMAN DI-04703 OMIM:616901 MeSH:D004476 
DPH1_HUMAN DI-04703 OMIM:616901 MeSH:D008607 
DPM1_HUMAN DI-00337 OMIM:608799 MeSH:D018981 
DPM2_HUMAN DI-03685 OMIM:615042 MeSH:D018981 
DPM3_HUMAN DI-05900 OMIM:618992 MeSH:D009136 
DPM3_HUMAN DI-02496 OMIM:612937 MeSH:D018981 
DPOD1_HUMAN DI-03863 OMIM:615381 MeSH:D003638 
DPOD1_HUMAN DI-03863 OMIM:615381 MeSH:D008060 
DPOD1_HUMAN DI-03863 OMIM:615381 MeSH:D008661 
DPOD1_HUMAN DI-03661 OMIM:612591 MeSH:D015179 
DPOE1_HUMAN DI-05489 OMIM:618336 MeSH:D000309 
DPOE1_HUMAN DI-05489 OMIM:618336 MeSH:D001848 
DPOE1_HUMAN DI-05489 OMIM:618336 MeSH:D005317 
DPOE1_HUMAN DI-03708 OMIM:615139 MeSH:D006130 
DPOE1_HUMAN DI-03708 OMIM:615139 MeSH:D007153 
DPOE1_HUMAN DI-03648 OMIM:615083 MeSH:D015179 
DPOE1_HUMAN DI-03708 OMIM:615139 MeSH:D019066 
DPOE1_HUMAN DI-03708 OMIM:615139 MeSH:D054068 
DPOG1_HUMAN DI-00079 OMIM:203700 MeSH:D002549 
DPOG1_HUMAN DI-01886 OMIM:256000 MeSH:D007888 
DPOG1_HUMAN DI-04684 OMIM:607459 MeSH:D013132 
DPOG1_HUMAN DI-01014 OMIM:607459 MeSH:D015417 
DPOG1_HUMAN DI-02989 OMIM:613662 MeSH:D017237 
DPOG1_HUMAN DI-00943 OMIM:157640 MeSH:D017246 
DPOG1_HUMAN DI-04684 OMIM:607459 MeSH:D020191 
DPOG2_HUMAN DI-00946 OMIM:610131 MeSH:D017246 
DPOG2_HUMAN DI-05631 OMIM:618528 MeSH:D028361 
DPOLA_HUMAN DI-04788 OMIM:301220 MeSH:D000686 
DPOLA_HUMAN DI-05626 OMIM:301030 MeSH:D008607 
DPOLA_HUMAN DI-04788 OMIM:301220 MeSH:D010859 
DPOLQ_HUMAN DI-02602 OMIM:114480 MeSH:D001943 
DPP10_HUMAN DI-02482 OMIM:600807 MeSH:D001249 
DPP6_HUMAN DI-04391 OMIM:616311 MeSH:D008607 
DPP6_HUMAN DI-02563 OMIM:612956 MeSH:D014693 
DPS1_HUMAN DI-03446 OMIM:614651 MeSH:D028361 
DPYD_HUMAN DI-01488 OMIM:274270 MeSH:D054067 
DPYS_HUMAN DI-01483 OMIM:222748 MeSH:D011686 
DR9C7_HUMAN DI-05041 OMIM:617574 MeSH:D017490 
DRAM2_HUMAN DI-04505 OMIM:616502 MeSH:D058499 
DRD3_HUMAN DI-03626 OMIM:181500 MeSH:D012559 
DRD3_HUMAN DI-02733 OMIM:190300 MeSH:D020329 
DRD5_HUMAN DI-00180 OMIM:606798 MeSH:D001764 
DREB_HUMAN DI-03832 OMIM:104300 MeSH:D000544 
DSC2_HUMAN DI-04742 OMIM:610476 MeSH:D007645 
DSC2_HUMAN DI-04742 OMIM:610476 MeSH:D019571 
DSC3_HUMAN DI-02555 OMIM:613102 MeSH:D007039 
DSE_HUMAN DI-03960 OMIM:615539 MeSH:D004535 
DSG1_HUMAN DI-03968 OMIM:615508 MeSH:D003873 
DSG1_HUMAN DI-03968 OMIM:615508 MeSH:D007039 
DSG1_HUMAN DI-00895 OMIM:148700 MeSH:D007645 
DSG2_HUMAN DI-02483 OMIM:612877 MeSH:D002311 
DSG2_HUMAN DI-01554 OMIM:610193 MeSH:D019571 
DSG3_HUMAN DI-06040 OMIM:619226 MeSH:D001768 
DSG3_HUMAN DI-06040 OMIM:619226 MeSH:D009059 
DSG4_HUMAN DI-01912 OMIM:607903 MeSH:D007039 
DSPP_HUMAN DI-01477 OMIM:125420 MeSH:D003784 
DSPP_HUMAN DI-01477 OMIM:125420 MeSH:D003805 
DSPP_HUMAN DI-01479 OMIM:125490 MeSH:D003811 
DSPP_HUMAN DI-01206 OMIM:605594 MeSH:D006319 
DSRAD_HUMAN DI-03668 OMIM:615010 MeSH:D009421 
DSRAD_HUMAN DI-01510 OMIM:127400 MeSH:D010859 
DSRAD_HUMAN DI-03668 OMIM:615010 MeSH:D020274 
DTBP1_HUMAN DI-00563 OMIM:614076 MeSH:D022861 
DTNA_HUMAN DI-00823 OMIM:604169 MeSH:D056830 
DUOX2_HUMAN DI-00361 OMIM:607200 MeSH:D003409 
DUS6_HUMAN DI-03770 OMIM:615269 MeSH:D007006 
DUSTY_HUMAN DI-04107 OMIM:610805 MeSH:D014564 
DUSTY_HUMAN DI-04976 OMIM:270750 MeSH:D015419 
DUX4_HUMAN DI-01545 OMIM:158900 MeSH:D020391 
DVL1_HUMAN DI-04392 OMIM:616331 MeSH:D004392 
DVL1_HUMAN DI-04392 OMIM:616331 MeSH:D014564 
DVL1_HUMAN DI-04392 OMIM:616331 MeSH:D017880 
DVL1_HUMAN DI-04392 OMIM:616331 MeSH:D019465 
DVL3_HUMAN DI-04701 OMIM:616894 MeSH:D004392 
DVL3_HUMAN DI-04701 OMIM:616894 MeSH:D014564 
DVL3_HUMAN DI-04701 OMIM:616894 MeSH:D017880 
DVL3_HUMAN DI-04701 OMIM:616894 MeSH:D019465 
DYH11_HUMAN DI-00932 OMIM:611884 MeSH:D007619 
DYH17_HUMAN DI-05668 OMIM:618643 MeSH:D007248 
DYH1_HUMAN DI-05027 OMIM:617576 MeSH:D007248 
DYH1_HUMAN DI-05029 OMIM:617577 MeSH:D007619 
DYH2_HUMAN DI-05965 OMIM:619094 MeSH:D007248 
DYH5_HUMAN DI-00930 OMIM:608644 MeSH:D007619 
DYH8_HUMAN DI-05966 OMIM:619095 MeSH:D007248 
DYH9_HUMAN DI-05451 OMIM:618300 MeSH:D007619 
DYHC1_HUMAN DI-03264 OMIM:614228 MeSH:D002607 
DYHC1_HUMAN DI-03425 OMIM:614563 MeSH:D008607 
DYHC1_HUMAN DI-03433 OMIM:158600 MeSH:D009134 
DYHC2_HUMAN DI-02583 OMIM:613091 MeSH:D012779 
DYM_HUMAN DI-00406 OMIM:223800 MeSH:D001848 
DYM_HUMAN DI-01034 OMIM:607326 MeSH:D010009 
DYN1_HUMAN DI-04414 OMIM:616346 MeSH:D013036 
DYN2_HUMAN DI-03854 OMIM:615368 MeSH:D001176 
DYN2_HUMAN DI-03481 OMIM:606482 MeSH:D002607 
DYN2_HUMAN DI-00252 OMIM:160150 MeSH:D020914 
DYR1A_HUMAN DI-03186 OMIM:614104 MeSH:D008607 
DYR1B_HUMAN DI-04090 OMIM:615812 MeSH:D024821 
DYR_HUMAN DI-03110 OMIM:613839 MeSH:D000749 
DYR_HUMAN DI-03110 OMIM:613839 MeSH:D008661 
DYSF_HUMAN DI-00659 OMIM:253601 MeSH:D049288 
DYSF_HUMAN DI-01987 OMIM:254130 MeSH:D049310 
DYST_HUMAN DI-03461 OMIM:614653 MeSH:D009477 
DYST_HUMAN DI-03906 OMIM:615425 MeSH:D016110 
DZI1L_HUMAN DI-05069 OMIM:617610 MeSH:D007690 
DZIP1_HUMAN DI-05967 OMIM:619102 MeSH:D007248 
DZIP1_HUMAN DI-05973 OMIM:610840 MeSH:D008945 
E2AK1_HUMAN DI-05836 OMIM:618878 MeSH:D056784 
E2AK2_HUMAN DI-05835 OMIM:618877 MeSH:D056784 
E2AK3_HUMAN DI-01149 OMIM:226980 MeSH:D010009 
E2AK4_HUMAN DI-04023 OMIM:234810 MeSH:D006976 
E2AK4_HUMAN DI-04023 OMIM:234810 MeSH:D011668 
E41L1_HUMAN DI-03254 OMIM:614257 MeSH:D008607 
EAA1_HUMAN DI-00477 OMIM:612656 MeSH:D001259 
EAA2_HUMAN DI-04837 OMIM:617105 MeSH:D013036 
EAA3_HUMAN DI-04231 OMIM:222730 MeSH:D000608 
EAA3_HUMAN DI-04231 OMIM:222730 MeSH:D008607 
EAA3_HUMAN DI-03726 OMIM:615232 MeSH:D012559 
EBP_HUMAN DI-00303 OMIM:302960 MeSH:D002806 
EBP_HUMAN DI-04527 OMIM:300960 MeSH:D043202 
ECE1_HUMAN DI-01748 OMIM:613870 MeSH:D006627 
ECEL1_HUMAN DI-03688 OMIM:615065 MeSH:D001176 
ECHA_HUMAN DI-02388 OMIM:609015 MeSH:D008052 
ECHA_HUMAN DI-02388 OMIM:609015 MeSH:D017240 
ECHB_HUMAN DI-02388 OMIM:609015 MeSH:D008052 
ECHB_HUMAN DI-02388 OMIM:609015 MeSH:D017240 
ECHM_HUMAN DI-04359 OMIM:616277 MeSH:D000592 
ECHP_HUMAN DI-03997 OMIM:615605 MeSH:D005198 
EDAD_HUMAN DI-03618 OMIM:614941 MeSH:D004476 
EDAD_HUMAN DI-03617 OMIM:614940 MeSH:D053359 
EDAD_HUMAN DI-03618 OMIM:614941 MeSH:D053360 
EDAR_HUMAN DI-00422 OMIM:224900 MeSH:D004476 
EDAR_HUMAN DI-00432 OMIM:129490 MeSH:D053359 
EDAR_HUMAN DI-00422 OMIM:224900 MeSH:D053360 
EDA_HUMAN DI-01788 OMIM:313500 MeSH:D000848 
EDA_HUMAN DI-00430 OMIM:305100 MeSH:D053358 
EDC3_HUMAN DI-04481 OMIM:616460 MeSH:D008607 
EDN1_HUMAN DI-04053 OMIM:612798 MeSH:D004427 
EDN1_HUMAN DI-04052 OMIM:615706 MeSH:D018640 
EDN3_HUMAN DI-02982 OMIM:613712 MeSH:D006627 
EDN3_HUMAN DI-01391 OMIM:209880 MeSH:D007040 
EDN3_HUMAN DI-02677 OMIM:613265 MeSH:D014849 
EDN3_HUMAN DI-01391 OMIM:209880 MeSH:D020182 
EDNRA_HUMAN DI-04426 OMIM:616367 MeSH:D008342 
EDNRB_HUMAN DI-01747 OMIM:600155 MeSH:D006627 
EDNRB_HUMAN DI-01139 OMIM:277580 MeSH:D014849 
EED_HUMAN DI-05034 OMIM:617561 MeSH:D001847 
EF1A2_HUMAN DI-04443 OMIM:616393 MeSH:D008607 
EF1A2_HUMAN DI-04447 OMIM:616409 MeSH:D013036 
EF2_HUMAN DI-03933 OMIM:609306 MeSH:D020754 
EFGM_HUMAN DI-01364 OMIM:609060 MeSH:D028361 
EFHC1_HUMAN DI-00613 OMIM:607631 MeSH:D004832 
EFHC1_HUMAN DI-00615 OMIM:254770 MeSH:D020190 
EFNB1_HUMAN DI-01443 OMIM:304110 MeSH:D019465 
EFTS_HUMAN DI-01366 OMIM:610505 MeSH:D028361 
EFTU_HUMAN DI-01367 OMIM:610678 MeSH:D028361 
EGFR_HUMAN DI-02205 OMIM:211980 MeSH:D008175 
EGFR_HUMAN DI-04271 OMIM:616069 MeSH:D012873 
EGFR_HUMAN DI-04271 OMIM:616069 MeSH:D015212 
EGF_HUMAN DI-00579 OMIM:611718 MeSH:D015499 
EGLN1_HUMAN DI-00481 OMIM:609820 MeSH:D011086 
EGLN_HUMAN DI-01716 OMIM:187300 MeSH:D013683 
EGR2_HUMAN DI-00358 OMIM:605253 MeSH:D002607 
EGR2_HUMAN DI-00387 OMIM:145900 MeSH:D015417 
EHBP1_HUMAN DI-02661 OMIM:611868 MeSH:D011471 
EHMT1_HUMAN DI-01348 OMIM:610253 MeSH:D006330 
EHMT1_HUMAN DI-01348 OMIM:610253 MeSH:D008607 
EHMT1_HUMAN DI-01348 OMIM:610253 MeSH:D019465 
EI2BA_HUMAN DI-00654 OMIM:603896 MeSH:D020279 
EI2BB_HUMAN DI-00654 OMIM:603896 MeSH:D020279 
EI2BD_HUMAN DI-00654 OMIM:603896 MeSH:D020279 
EI2BE_HUMAN DI-00654 OMIM:603896 MeSH:D020279 
EI2BG_HUMAN DI-00654 OMIM:603896 MeSH:D020279 
EIF3F_HUMAN DI-05459 OMIM:618295 MeSH:D008607 
ELMD3_HUMAN DI-03888 OMIM:615429 MeSH:D046089 
ELMO2_HUMAN DI-04828 OMIM:606893 MeSH:D054079 
ELNE_HUMAN DI-01463 OMIM:162800 MeSH:D009503 
ELN_HUMAN DI-01204 OMIM:123700 MeSH:D003483 
ELOV1_HUMAN DI-05630 OMIM:618527 MeSH:D007057 
ELOV1_HUMAN DI-05630 OMIM:618527 MeSH:D009422 
ELOV4_HUMAN DI-01085 OMIM:600110 MeSH:D003317 
ELOV4_HUMAN DI-03376 OMIM:614457 MeSH:D007057 
ELOV4_HUMAN DI-03376 OMIM:614457 MeSH:D008607 
ELOV4_HUMAN DI-03376 OMIM:614457 MeSH:D010264 
